time,throughput
4.05,53600.0
4.051,107200.0
4.053,160800.0
4.054,214400.0
4.056,268000.0
4.057,321600.0
4.059,375200.0
4.06,428800.0
4.061,428800.0
4.063,428800.0
4.086,53600.0
4.087,107200.0
4.089,160800.0
4.09,214400.0
4.092,268000.0
4.093,321600.0
4.094,375200.0
4.096,428800.0
4.097,375200.0
4.099,428800.0
4.1,428800.0
4.101,428800.0
4.103,428800.0
4.104,428800.0
4.122,53600.0
4.124,107200.0
4.126,160800.0
4.128,214400.0
4.13,268000.0
4.132,321600.0
4.134,268000.0
4.136,321600.0
4.138,321600.0
4.14,321600.0
4.142,268000.0
4.144,321600.0
4.146,321600.0
4.147,321600.0
4.149,321600.0
4.151,321600.0
4.153,321600.0
4.155,321600.0
4.157,321600.0
4.159,321600.0
4.161,321600.0
4.163,268000.0
4.165,321600.0
4.167,321600.0
4.169,321600.0
4.171,268000.0
4.173,321600.0
4.174,321600.0
4.176,321600.0
4.178,321600.0
4.18,321600.0
4.182,321600.0
4.184,321600.0
4.186,321600.0
4.188,321600.0
4.19,268000.0
4.192,321600.0
4.194,321600.0
4.196,321600.0
4.198,268000.0
4.2,321600.0
4.201,321600.0
4.203,321600.0
4.205,321600.0
4.207,321600.0
4.209,321600.0
4.211,268000.0
4.213,321600.0
4.215,321600.0
4.217,321600.0
4.219,268000.0
4.221,321600.0
4.223,321600.0
4.225,321600.0
4.227,268000.0
4.228,321600.0
4.301,53600.0
4.303,107200.0
4.306,160800.0
4.309,214400.0
4.312,214400.0
4.314,214400.0
4.317,214400.0
4.32,214400.0
4.323,214400.0
4.325,214400.0
4.328,214400.0
4.331,214400.0
4.334,214400.0
4.336,214400.0
4.345,107200.0
4.35,107200.0
7.332,53600.0
7.369,53600.0
7.372,107200.0
7.406,53600.0
7.409,107200.0
7.446,53600.0
7.449,107200.0
7.452,160800.0
7.485,53600.0
7.487,107200.0
7.521,53600.0
7.523,107200.0
7.557,53600.0
7.559,107200.0
7.561,160800.0
7.593,53600.0
7.595,107200.0
7.597,160800.0
7.599,214400.0
7.631,53600.0
7.633,107200.0
7.635,160800.0
7.637,214400.0
7.669,53600.0
7.67,107200.0
7.672,160800.0
7.673,214400.0
7.675,268000.0
7.706,53600.0
7.707,107200.0
7.709,160800.0
7.71,214400.0
7.742,53600.0
7.743,107200.0
7.745,160800.0
7.746,214400.0
7.748,268000.0
7.778,53600.0
7.779,107200.0
7.781,160800.0
7.782,214400.0
7.784,268000.0
7.785,321600.0
7.815,53600.0
7.816,107200.0
7.818,160800.0
7.819,214400.0
7.821,268000.0
7.822,321600.0
7.823,375200.0
7.852,53600.0
7.853,107200.0
7.854,160800.0
7.856,214400.0
7.857,268000.0
7.858,321600.0
7.888,53600.0
7.889,107200.0
7.89,160800.0
7.892,214400.0
7.893,268000.0
7.894,321600.0
7.924,53600.0
7.925,107200.0
7.926,160800.0
7.928,214400.0
7.929,268000.0
7.93,321600.0
7.931,375200.0
7.96,53600.0
7.961,107200.0
7.962,160800.0
7.964,214400.0
7.965,268000.0
7.966,321600.0
7.967,375200.0
7.969,428800.0
7.996,53600.0
7.997,107200.0
7.998,160800.0
7.999,214400.0
8.0,268000.0
8.001,321600.0
8.002,375200.0
8.003,428800.0
8.004,482400.0
8.032,53600.0
8.033,107200.0
8.034,160800.0
8.035,214400.0
8.036,268000.0
8.037,321600.0
8.038,375200.0
8.039,428800.0
8.067,53600.0
8.068,107200.0
8.069,160800.0
8.07,214400.0
8.071,268000.0
8.072,321600.0
8.073,375200.0
8.074,428800.0
8.102,53600.0
8.103,107200.0
8.104,160800.0
8.105,214400.0
8.106,268000.0
8.107,321600.0
8.108,375200.0
8.109,428800.0
8.11,482400.0
8.137,53600.0
8.138,107200.0
8.139,160800.0
8.14,214400.0
8.141,268000.0
8.142,321600.0
8.143,375200.0
8.144,428800.0
8.145,482400.0
8.146,536000.0
8.173,53600.0
8.174,107200.0
8.175,160800.0
8.176,214400.0
8.177,268000.0
8.178,321600.0
8.179,375200.0
8.18,428800.0
8.181,482400.0
8.182,536000.0
8.183,589600.0
8.209,53600.0
8.21,107200.0
8.211,160800.0
8.212,214400.0
8.213,268000.0
8.214,321600.0
8.215,375200.0
8.216,428800.0
8.217,482400.0
8.218,536000.0
8.244,53600.0
8.245,107200.0
8.246,160800.0
8.247,214400.0
8.248,268000.0
8.249,321600.0
8.25,375200.0
8.251,428800.0
8.252,482400.0
8.253,536000.0
8.254,589600.0
8.279,53600.0
8.28,107200.0
8.281,160800.0
8.282,214400.0
8.283,268000.0
8.284,321600.0
8.285,375200.0
8.286,428800.0
8.287,482400.0
8.288,536000.0
8.289,589600.0
8.29,589600.0
8.315,53600.0
8.316,107200.0
8.317,160800.0
8.318,214400.0
8.319,268000.0
8.32,321600.0
8.321,375200.0
8.322,428800.0
8.323,482400.0
8.324,536000.0
8.325,589600.0
8.326,589600.0
8.327,589600.0
8.351,53600.0
8.352,107200.0
8.353,160800.0
8.354,214400.0
8.355,268000.0
8.356,321600.0
8.357,375200.0
8.358,428800.0
8.359,482400.0
8.36,536000.0
8.361,589600.0
8.362,589600.0
8.386,53600.0
8.387,107200.0
8.388,160800.0
8.389,214400.0
8.39,268000.0
8.391,321600.0
8.392,375200.0
8.393,428800.0
8.394,482400.0
8.395,536000.0
8.396,536000.0
8.397,589600.0
8.421,53600.0
8.422,107200.0
8.423,160800.0
8.424,214400.0
8.425,268000.0
8.426,321600.0
8.427,375200.0
8.428,428800.0
8.429,482400.0
8.43,536000.0
8.431,589600.0
8.432,589600.0
8.433,589600.0
8.456,53600.0
8.457,107200.0
8.458,160800.0
8.459,214400.0
8.46,268000.0
8.461,321600.0
8.462,375200.0
8.463,428800.0
8.465,482400.0
8.466,536000.0
8.467,536000.0
8.469,482400.0
8.47,482400.0
8.471,482400.0
8.493,53600.0
8.494,107200.0
8.495,160800.0
8.497,214400.0
8.498,268000.0
8.499,321600.0
8.5,375200.0
8.502,428800.0
8.503,482400.0
8.504,482400.0
8.505,428800.0
8.507,482400.0
8.508,482400.0
8.509,482400.0
8.511,428800.0
8.53,53600.0
8.531,107200.0
8.532,160800.0
8.534,214400.0
8.535,268000.0
8.536,321600.0
8.537,375200.0
8.539,428800.0
8.54,482400.0
8.541,482400.0
8.542,482400.0
8.544,482400.0
8.545,482400.0
8.546,482400.0
8.566,53600.0
8.567,107200.0
8.568,160800.0
8.57,214400.0
8.571,268000.0
8.572,321600.0
8.573,375200.0
8.575,428800.0
8.576,482400.0
8.577,482400.0
8.578,482400.0
8.58,482400.0
8.581,482400.0
8.582,428800.0
8.584,428800.0
8.602,53600.0
8.603,107200.0
8.604,160800.0
8.606,214400.0
8.607,268000.0
8.608,321600.0
8.609,375200.0
8.611,428800.0
8.612,482400.0
8.613,482400.0
8.614,428800.0
8.616,482400.0
8.617,428800.0
8.618,482400.0
8.62,428800.0
8.621,482400.0
8.639,53600.0
8.64,107200.0
8.642,160800.0
8.643,214400.0
8.645,268000.0
8.646,321600.0
8.647,375200.0
8.649,428800.0
8.65,428800.0
8.652,428800.0
8.653,428800.0
8.654,428800.0
8.656,428800.0
8.657,428800.0
8.659,375200.0
8.66,428800.0
8.662,375200.0
8.676,53600.0
8.677,107200.0
8.679,160800.0
8.68,214400.0
8.682,268000.0
8.683,321600.0
8.684,375200.0
8.686,428800.0
8.687,428800.0
8.689,428800.0
8.69,428800.0
8.691,428800.0
8.693,428800.0
8.694,375200.0
8.696,428800.0
8.697,428800.0
8.712,53600.0
8.713,107200.0
8.715,160800.0
8.716,214400.0
8.718,268000.0
8.719,321600.0
8.72,375200.0
8.722,428800.0
8.723,375200.0
8.725,428800.0
8.726,375200.0
8.727,428800.0
8.729,428800.0
8.73,428800.0
8.732,428800.0
8.733,428800.0
8.735,428800.0
8.748,53600.0
8.749,107200.0
8.751,160800.0
8.752,214400.0
8.754,268000.0
8.755,321600.0
8.756,375200.0
8.758,428800.0
8.759,428800.0
8.761,428800.0
8.762,428800.0
8.763,428800.0
8.765,428800.0
8.766,428800.0
8.768,375200.0
8.769,428800.0
8.771,375200.0
8.772,428800.0
8.785,53600.0
8.786,107200.0
8.788,160800.0
8.789,214400.0
8.791,268000.0
8.792,321600.0
8.793,375200.0
8.795,428800.0
8.796,428800.0
8.798,428800.0
8.799,428800.0
8.8,428800.0
8.802,428800.0
8.803,375200.0
8.805,428800.0
8.806,428800.0
8.807,428800.0
8.809,428800.0
8.822,53600.0
8.823,107200.0
8.824,160800.0
8.826,214400.0
8.827,268000.0
8.828,321600.0
8.829,375200.0
8.831,428800.0
8.832,428800.0
8.833,482400.0
8.834,482400.0
8.836,482400.0
8.837,482400.0
8.838,482400.0
8.84,428800.0
8.841,482400.0
8.842,482400.0
8.843,482400.0
8.845,428800.0
8.859,53600.0
8.86,107200.0
8.861,160800.0
8.863,214400.0
8.864,268000.0
8.865,321600.0
8.866,375200.0
8.868,428800.0
8.869,482400.0
8.87,482400.0
8.871,482400.0
8.873,482400.0
8.874,482400.0
8.875,482400.0
8.877,428800.0
8.878,482400.0
8.879,482400.0
8.88,428800.0
8.895,53600.0
8.896,107200.0
8.897,160800.0
8.899,214400.0
8.9,268000.0
8.901,321600.0
8.902,375200.0
8.904,428800.0
8.905,482400.0
8.906,482400.0
8.907,482400.0
8.909,428800.0
8.91,482400.0
8.911,482400.0
8.913,428800.0
8.914,482400.0
8.915,482400.0
8.916,482400.0
8.918,428800.0
8.93,53600.0
8.931,107200.0
8.932,160800.0
8.933,214400.0
8.934,268000.0
8.935,321600.0
8.936,375200.0
8.937,428800.0
8.938,482400.0
8.939,536000.0
8.94,589600.0
8.941,536000.0
8.942,589600.0
8.943,589600.0
8.944,536000.0
8.945,589600.0
8.946,589600.0
8.947,589600.0
8.948,589600.0
8.949,589600.0
8.966,53600.0
8.967,107200.0
8.968,160800.0
8.969,214400.0
8.97,268000.0
8.971,321600.0
8.972,375200.0
8.973,428800.0
8.974,482400.0
8.975,536000.0
8.976,536000.0
8.977,589600.0
8.978,589600.0
8.979,589600.0
8.98,589600.0
8.981,589600.0
8.982,589600.0
8.983,589600.0
8.984,589600.0
8.985,589600.0
8.986,589600.0
9.002,53600.0
9.003,107200.0
9.004,160800.0
9.005,214400.0
9.006,268000.0
9.007,321600.0
9.008,375200.0
9.009,428800.0
9.01,482400.0
9.011,536000.0
9.012,589600.0
9.013,589600.0
9.014,589600.0
9.015,589600.0
9.016,589600.0
9.017,589600.0
9.018,536000.0
9.019,589600.0
9.02,589600.0
9.021,536000.0
9.037,53600.0
9.038,107200.0
9.039,160800.0
9.04,214400.0
9.041,268000.0
9.042,321600.0
9.043,375200.0
9.044,428800.0
9.045,482400.0
9.046,536000.0
9.047,589600.0
