time,action
1.05,160
1.051,160
1.052,160
1.054,160
1.055,160
1.056,160
1.057,160
1.059,160
1.06,160
1.061,160
1.086,160
1.087,160
1.088,160
1.09,160
1.091,160
1.092,160
1.093,160
1.095,160
1.096,160
1.097,160
1.098,160
1.1,160
1.101,160
1.102,160
1.122,160
1.123,160
1.124,160
1.126,160
1.127,160
1.128,160
1.129,160
1.131,160
1.132,160
1.133,160
1.134,160
1.136,160
1.137,160
1.138,160
1.14,160
1.141,160
1.142,160
1.143,160
1.145,160
1.146,160
1.147,160
1.158,160
1.159,160
1.16,160
1.162,160
1.163,160
1.164,160
1.165,160
1.166,160
1.167,160
1.168,160
1.169,160
1.17,160
1.171,160
1.172,160
1.172,160
1.173,160
1.174,160
1.175,160
1.176,160
1.177,160
1.178,160
1.179,160
1.18,160
1.181,160
1.182,160
1.183,160
1.184,160
1.185,160
1.186,160
1.187,160
1.188,160
1.189,160
1.19,160
1.194,160
1.195,160
1.196,160
1.197,160
1.198,160
1.199,160
1.2,160
1.201,160
1.202,160
1.203,160
1.204,160
1.205,160
1.206,160
1.207,160
1.208,160
1.209,160
1.21,160
1.211,160
1.212,160
1.213,160
1.214,160
1.215,160
1.216,160
1.217,160
1.218,160
1.219,160
1.266,160
1.267,160
1.268,160
1.27,160
1.271,160
1.272,160
1.273,160
1.278,160
1.279,160
1.281,160
1.285,160
1.286,160
1.287,160
1.288,160
1.29,160
1.292,160
1.301,160
1.308,160
1.309,160
1.31,160
1.311,160
1.312,160
1.313,160
1.314,160
1.315,160
1.316,160
1.317,160
1.318,160
1.32,160
1.321,160
1.322,160
1.323,160
1.324,160
1.325,160
1.326,160
1.327,160
1.328,160
1.329,160
1.329,160
1.33,160
1.331,160
1.332,160
1.332,160
1.333,160
1.334,160
1.335,160
1.335,160
1.336,160
1.338,160
1.339,160
1.34,160
1.341,160
1.342,160
1.343,160
1.345,160
1.346,160
1.347,160
1.348,160
1.349,160
1.35,160
1.351,160
1.352,160
1.353,160
1.354,160
1.356,160
1.357,160
1.358,160
1.359,160
1.36,160
1.361,160
1.361,160
1.362,160
1.363,160
1.364,160
1.364,160
1.365,160
1.366,160
1.367,160
1.367,160
1.368,160
1.37,160
1.371,160
1.372,160
1.373,160
1.374,160
1.375,160
1.376,160
1.377,160
1.378,160
1.379,160
1.381,160
1.382,160
1.383,160
1.384,160
1.385,160
1.386,160
1.387,160
1.388,160
1.389,160
1.39,160
1.392,160
1.393,160
1.394,160
1.395,160
1.395,160
1.396,160
1.397,160
1.398,160
1.398,160
1.399,160
1.4,160
1.401,160
1.401,160
1.402,160
1.403,160
1.404,160
1.405,160
1.406,160
1.407,160
1.408,160
1.409,160
1.41,160
1.411,160
1.412,160
1.413,160
1.414,160
1.415,160
1.417,160
1.418,160
1.419,160
1.42,160
1.421,160
1.422,160
1.423,160
1.424,160
1.425,160
1.426,160
1.428,160
1.429,160
1.43,160
1.431,160
1.431,160
1.432,160
1.433,160
1.434,160
1.434,160
1.435,160
1.436,160
1.437,160
1.437,160
1.438,160
1.439,160
1.44,160
1.441,160
1.442,160
1.443,160
1.444,160
1.445,160
1.446,160
1.447,160
1.448,160
1.449,160
1.45,160
1.452,160
1.453,160
1.454,100
1.455,160
1.456,160
1.457,160
1.458,160
1.459,160
1.46,160
1.461,160
1.463,160
1.464,160
1.465,160
1.466,160
1.466,160
1.467,160
1.468,160
1.469,160
1.469,160
1.47,160
1.471,160
1.472,160
1.472,160
1.473,160
1.474,160
1.475,160
1.476,160
1.476,160
1.477,160
1.478,160
1.479,160
1.48,160
1.481,160
1.482,160
1.483,160
1.484,160
1.485,160
1.487,160
1.488,160
1.489,160
1.49,160
1.491,160
1.492,160
1.493,160
1.494,160
1.495,160
1.496,160
1.498,160
1.499,160
1.5,160
1.501,160
1.501,160
1.502,160
1.503,160
1.504,160
1.504,160
1.505,160
1.506,160
1.507,160
1.507,160
1.508,160
1.509,160
1.51,160
1.511,160
1.511,160
1.512,160
1.513,160
1.514,160
1.515,160
1.516,160
1.517,160
1.518,160
1.519,160
1.52,160
1.521,160
1.523,160
1.524,160
1.525,160
1.526,160
1.527,160
1.528,160
1.529,160
1.53,160
1.53,160
1.531,160
1.532,160
1.534,160
1.535,160
1.536,160
1.537,160
1.537,160
1.538,160
1.539,160
1.54,160
1.54,160
1.541,160
1.542,160
1.543,160
1.543,160
1.544,160
1.545,160
1.546,160
1.547,160
1.547,160
1.548,160
1.549,160
1.55,160
1.551,160
1.552,160
1.553,160
1.554,160
1.555,160
1.556,160
1.557,160
1.559,160
1.56,160
1.561,160
1.562,160
1.563,160
1.564,160
1.565,160
1.566,160
1.567,160
1.568,160
1.569,160
1.57,160
1.571,160
1.572,160
1.572,160
1.573,160
1.574,160
1.575,160
1.575,160
1.576,160
1.577,160
1.578,160
1.578,160
1.579,160
1.58,160
1.581,160
1.582,160
1.582,160
1.583,160
1.584,160
1.585,160
1.586,160
1.587,160
1.588,160
1.589,160
1.59,160
1.591,160
1.592,160
1.592,160
1.594,160
1.595,160
1.596,160
1.597,160
1.598,160
1.599,160
1.6,160
1.601,160
1.602,160
1.603,160
1.603,160
1.604,160
1.605,160
1.606,160
1.606,160
1.607,160
1.608,160
1.609,160
1.609,160
1.61,160
1.611,160
1.612,160
1.613,160
1.613,160
1.614,160
1.615,160
1.616,160
1.616,160
1.617,160
1.618,160
1.62,160
1.621,160
1.622,160
1.623,160
1.624,160
1.625,160
1.626,160
1.627,160
1.628,160
1.629,160
1.63,160
1.631,160
1.632,160
1.633,160
1.634,160
1.635,160
1.635,160
1.636,160
1.637,160
1.638,160
1.638,0
1.639,160
1.64,160
1.641,160
1.641,160
1.642,160
1.643,160
1.644,160
1.645,160
1.645,160
1.646,160
1.647,160
1.648,160
1.649,160
1.65,160
1.651,160
1.652,160
1.653,160
1.654,160
1.655,160
1.656,160
1.657,160
1.658,160
1.659,160
1.66,160
1.661,160
1.662,160
1.663,160
1.664,160
1.665,160
1.666,160
1.667,160
1.668,160
1.669,160
1.67,160
1.671,160
1.672,160
1.673,160
1.674,160
1.675,160
1.676,160
1.677,160
1.678,160
1.679,160
1.68,160
1.681,160
1.682,160
1.683,160
1.684,160
1.685,160
1.686,160
1.687,160
1.688,160
1.689,160
1.69,160
1.691,160
1.692,160
1.693,160
1.694,160
1.695,160
1.696,160
1.697,160
1.698,160
1.699,160
1.7,160
1.701,160
1.702,160
1.703,160
1.704,160
1.705,160
1.706,160
1.707,160
1.708,160
1.709,160
1.71,160
1.711,160
1.712,160
1.713,160
1.714,160
1.715,160
1.716,160
1.717,160
1.718,160
1.719,160
1.72,160
1.721,160
1.722,160
1.723,160
1.724,160
1.725,160
1.726,160
1.727,160
1.728,160
1.729,160
1.73,160
1.731,160
1.732,160
1.733,160
1.734,160
1.735,160
1.736,160
1.737,160
1.738,160
1.739,160
1.74,160
1.741,160
1.742,160
1.743,160
1.744,160
1.745,160
1.746,160
1.747,160
1.748,160
1.749,160
1.75,160
1.751,160
1.752,160
1.753,160
1.754,160
1.755,160
1.756,160
1.757,160
1.758,160
1.759,160
1.76,160
1.761,160
1.762,160
1.763,160
1.764,160
1.765,160
1.766,160
1.767,160
1.768,160
1.769,160
1.77,160
1.771,160
1.772,160
1.773,160
1.774,160
1.775,160
1.776,160
1.777,160
1.778,160
1.779,160
1.78,160
1.781,160
1.782,160
1.783,160
1.784,160
1.785,160
1.786,160
1.787,160
1.788,160
1.789,160
1.79,160
1.791,160
1.792,160
1.793,160
1.794,160
1.795,160
1.796,160
1.797,160
1.798,160
1.799,160
1.8,160
1.801,160
1.802,160
1.803,160
1.804,160
1.805,160
1.806,160
1.807,160
1.808,160
1.809,160
1.81,160
1.811,160
1.812,160
1.814,160
1.815,160
1.816,160
1.817,160
1.819,160
1.82,160
1.821,160
1.822,160
1.824,160
1.825,160
1.826,160
1.827,160
1.829,160
1.83,160
1.831,160
1.833,100
1.834,160
1.835,160
1.836,160
1.838,160
1.839,160
1.84,160
1.841,160
1.843,160
1.844,160
1.845,160
1.846,160
1.848,160
1.849,160
1.85,160
1.852,160
1.853,160
1.854,160
1.855,160
1.857,160
1.858,160
1.859,160
1.86,160
1.862,160
1.863,160
1.864,160
1.866,160
1.867,160
1.868,160
1.869,160
1.871,160
1.872,160
1.873,160
1.874,160
1.876,160
1.877,160
1.878,160
1.879,160
1.881,160
1.882,160
1.883,160
1.885,160
1.886,160
1.887,160
1.888,160
1.89,160
1.891,160
1.892,160
1.893,160
1.895,160
1.896,160
1.897,160
1.898,160
1.9,160
1.901,160
1.902,160
1.904,160
1.905,160
1.906,160
1.907,160
1.909,160
1.91,160
1.911,160
1.912,160
1.914,160
1.915,160
1.916,160
1.917,160
1.919,160
1.92,160
1.921,160
1.923,160
1.924,160
1.925,160
1.926,160
1.928,160
1.929,160
1.93,160
1.931,160
1.933,160
1.934,160
1.935,160
1.936,160
1.938,160
1.939,160
1.94,160
1.942,160
1.943,160
1.944,160
1.946,160
