time,throughput
1.05,53600.0
1.051,107200.0
1.052,160800.0
1.053,214400.0
1.054,268000.0
1.055,321600.0
1.056,375200.0
1.057,428800.0
1.058,482400.0
1.059,536000.0
1.085,53600.0
1.086,107200.0
1.087,160800.0
1.088,214400.0
1.089,268000.0
1.09,321600.0
1.091,375200.0
1.092,428800.0
1.093,482400.0
1.094,536000.0
1.095,589600.0
1.096,589600.0
1.097,589600.0
1.098,589600.0
1.12,53600.0
1.121,107200.0
1.122,160800.0
1.123,214400.0
1.124,268000.0
1.125,321600.0
1.126,375200.0
1.127,428800.0
1.128,482400.0
1.129,536000.0
1.13,589600.0
1.131,589600.0
1.132,589600.0
1.133,589600.0
1.134,589600.0
1.135,589600.0
1.136,589600.0
1.137,589600.0
1.138,589600.0
1.139,589600.0
1.14,589600.0
1.155,53600.0
1.156,107200.0
1.157,160800.0
1.158,214400.0
1.159,268000.0
1.16,321600.0
1.161,375200.0
1.162,428800.0
1.163,482400.0
1.164,536000.0
1.165,589600.0
1.166,589600.0
1.167,589600.0
1.168,589600.0
1.169,589600.0
1.17,589600.0
1.171,589600.0
1.172,589600.0
1.173,589600.0
1.174,589600.0
1.175,589600.0
1.176,589600.0
1.177,589600.0
1.178,589600.0
1.179,589600.0
1.18,589600.0
1.181,589600.0
1.182,589600.0
1.183,589600.0
1.23,53600.0
1.231,107200.0
1.251,53600.0
1.253,107200.0
1.255,160800.0
1.256,214400.0
1.261,268000.0
1.263,268000.0
1.264,268000.0
1.265,321600.0
1.266,321600.0
1.267,321600.0
1.268,375200.0
1.27,428800.0
1.273,428800.0
1.275,375200.0
1.277,321600.0
1.28,268000.0
1.281,268000.0
1.282,321600.0
1.283,375200.0
1.284,375200.0
1.285,428800.0
1.286,428800.0
1.287,482400.0
1.288,482400.0
1.289,536000.0
1.29,589600.0
1.291,589600.0
1.292,589600.0
1.293,589600.0
1.294,589600.0
1.295,589600.0
1.296,589600.0
1.298,536000.0
1.299,536000.0
1.305,268000.0
1.306,268000.0
1.31,160800.0
1.311,214400.0
1.312,268000.0
1.313,321600.0
1.315,375200.0
1.316,375200.0
1.317,375200.0
1.318,428800.0
1.319,482400.0
1.32,536000.0
1.321,536000.0
1.322,536000.0
1.323,536000.0
1.324,536000.0
1.325,589600.0
1.326,589600.0
1.327,589600.0
1.328,589600.0
1.329,589600.0
1.33,589600.0
1.331,589600.0
1.334,482400.0
1.335,482400.0
1.341,214400.0
1.342,214400.0
1.343,268000.0
