time,bytesRx,mac_address
1.050,536,04-07-07:00:00:02:a0:0f:00
1.051,536,04-07-07:00:00:02:a0:0f:00
1.052,536,04-07-07:00:00:02:a0:0f:00
1.054,536,04-07-07:00:00:02:a0:0f:00
1.055,536,04-07-07:00:00:02:a0:0f:00
1.056,536,04-07-07:00:00:02:a0:0f:00
1.057,536,04-07-07:00:00:02:a0:0f:00
1.059,536,04-07-07:00:00:02:a0:0f:00
1.060,536,04-07-07:00:00:02:a0:0f:00
1.061,536,04-07-07:00:00:02:a0:0f:00
1.086,536,04-07-07:00:00:02:a0:0f:00
1.087,536,04-07-07:00:00:02:a0:0f:00
1.088,536,04-07-07:00:00:02:a0:0f:00
1.090,536,04-07-07:00:00:02:a0:0f:00
1.091,536,04-07-07:00:00:02:a0:0f:00
1.092,536,04-07-07:00:00:02:a0:0f:00
1.093,536,04-07-07:00:00:02:a0:0f:00
1.095,536,04-07-07:00:00:02:a0:0f:00
1.096,536,04-07-07:00:00:02:a0:0f:00
1.097,536,04-07-07:00:00:02:a0:0f:00
1.098,536,04-07-07:00:00:02:a0:0f:00
1.100,536,04-07-07:00:00:02:a0:0f:00
1.101,536,04-07-07:00:00:02:a0:0f:00
1.102,536,04-07-07:00:00:02:a0:0f:00
1.122,536,04-07-07:00:00:02:a0:0f:00
1.123,536,04-07-07:00:00:02:a0:0f:00
1.124,536,04-07-07:00:00:02:a0:0f:00
1.126,536,04-07-07:00:00:02:a0:0f:00
1.127,536,04-07-07:00:00:02:a0:0f:00
1.128,536,04-07-07:00:00:02:a0:0f:00
1.129,536,04-07-07:00:00:02:a0:0f:00
1.131,536,04-07-07:00:00:02:a0:0f:00
1.132,536,04-07-07:00:00:02:a0:0f:00
1.133,536,04-07-07:00:00:02:a0:0f:00
1.134,536,04-07-07:00:00:02:a0:0f:00
1.136,536,04-07-07:00:00:02:a0:0f:00
1.137,536,04-07-07:00:00:02:a0:0f:00
1.138,536,04-07-07:00:00:02:a0:0f:00
1.140,536,04-07-07:00:00:02:a0:0f:00
1.141,536,04-07-07:00:00:02:a0:0f:00
1.142,536,04-07-07:00:00:02:a0:0f:00
1.143,536,04-07-07:00:00:02:a0:0f:00
1.145,536,04-07-07:00:00:02:a0:0f:00
1.146,536,04-07-07:00:00:02:a0:0f:00
1.147,536,04-07-07:00:00:02:a0:0f:00
1.158,536,04-07-07:00:00:02:a0:0f:00
1.159,536,04-07-07:00:00:02:a0:0f:00
1.160,536,04-07-07:00:00:02:a0:0f:00
1.162,536,04-07-07:00:00:02:a0:0f:00
1.163,536,04-07-07:00:00:02:a0:0f:00
1.164,536,04-07-07:00:00:02:a0:0f:00
1.165,536,04-07-07:00:00:02:a0:0f:00
1.167,536,04-07-07:00:00:02:a0:0f:00
1.168,536,04-07-07:00:00:02:a0:0f:00
1.169,536,04-07-07:00:00:02:a0:0f:00
1.170,536,04-07-07:00:00:02:a0:0f:00
1.172,536,04-07-07:00:00:02:a0:0f:00
1.173,536,04-07-07:00:00:02:a0:0f:00
1.174,536,04-07-07:00:00:02:a0:0f:00
1.176,536,04-07-07:00:00:02:a0:0f:00
1.177,536,04-07-07:00:00:02:a0:0f:00
1.178,536,04-07-07:00:00:02:a0:0f:00
1.179,536,04-07-07:00:00:02:a0:0f:00
1.181,536,04-07-07:00:00:02:a0:0f:00
1.182,536,04-07-07:00:00:02:a0:0f:00
1.183,536,04-07-07:00:00:02:a0:0f:00
1.184,536,04-07-07:00:00:02:a0:0f:00
1.186,536,04-07-07:00:00:02:a0:0f:00
1.187,536,04-07-07:00:00:02:a0:0f:00
1.188,536,04-07-07:00:00:02:a0:0f:00
1.189,536,04-07-07:00:00:02:a0:0f:00
1.191,536,04-07-07:00:00:02:a0:0f:00
1.192,536,04-07-07:00:00:02:a0:0f:00
1.193,536,04-07-07:00:00:02:a0:0f:00
1.195,536,04-07-07:00:00:02:a0:0f:00
1.196,536,04-07-07:00:00:02:a0:0f:00
1.249,536,04-07-07:00:00:02:a0:0f:00
1.250,13936,04-07-07:00:00:02:a0:0f:00
1.263,536,04-07-07:00:00:02:a0:0f:00
1.265,2680,04-07-07:00:00:02:a0:0f:00
1.269,536,04-07-07:00:00:02:a0:0f:00
1.270,2680,04-07-07:00:00:02:a0:0f:00
1.272,536,04-07-07:00:00:02:a0:0f:00
1.274,4824,04-07-07:00:00:02:a0:0f:00
1.285,9648,04-07-07:00:00:02:a0:0f:00
1.286,536,04-07-07:00:00:02:a0:0f:00
1.288,536,04-07-07:00:00:02:a0:0f:00
1.289,536,04-07-07:00:00:02:a0:0f:00
1.290,536,04-07-07:00:00:02:a0:0f:00
1.292,536,04-07-07:00:00:02:a0:0f:00
1.293,536,04-07-07:00:00:02:a0:0f:00
1.294,536,04-07-07:00:00:02:a0:0f:00
1.295,536,04-07-07:00:00:02:a0:0f:00
1.297,536,04-07-07:00:00:02:a0:0f:00
1.298,536,04-07-07:00:00:02:a0:0f:00
1.299,536,04-07-07:00:00:02:a0:0f:00
1.301,536,04-07-07:00:00:02:a0:0f:00
1.305,536,04-07-07:00:00:02:a0:0f:00
1.306,536,04-07-07:00:00:02:a0:0f:00
1.307,536,04-07-07:00:00:02:a0:0f:00
1.309,536,04-07-07:00:00:02:a0:0f:00
1.310,536,04-07-07:00:00:02:a0:0f:00
1.311,536,04-07-07:00:00:02:a0:0f:00
1.312,536,04-07-07:00:00:02:a0:0f:00
1.314,536,04-07-07:00:00:02:a0:0f:00
1.315,536,04-07-07:00:00:02:a0:0f:00
1.316,536,04-07-07:00:00:02:a0:0f:00
1.317,536,04-07-07:00:00:02:a0:0f:00
1.319,536,04-07-07:00:00:02:a0:0f:00
1.320,536,04-07-07:00:00:02:a0:0f:00
1.321,536,04-07-07:00:00:02:a0:0f:00
1.324,536,04-07-07:00:00:02:a0:0f:00
1.325,536,04-07-07:00:00:02:a0:0f:00
1.326,536,04-07-07:00:00:02:a0:0f:00
1.328,536,04-07-07:00:00:02:a0:0f:00
1.329,536,04-07-07:00:00:02:a0:0f:00
1.330,536,04-07-07:00:00:02:a0:0f:00
1.331,536,04-07-07:00:00:02:a0:0f:00
1.333,536,04-07-07:00:00:02:a0:0f:00
1.337,536,04-07-07:00:00:02:a0:0f:00
1.338,536,04-07-07:00:00:02:a0:0f:00
1.342,536,04-07-07:00:00:02:a0:0f:00
1.343,536,04-07-07:00:00:02:a0:0f:00
1.344,536,04-07-07:00:00:02:a0:0f:00
1.346,536,04-07-07:00:00:02:a0:0f:00
1.347,536,04-07-07:00:00:02:a0:0f:00
1.348,536,04-07-07:00:00:02:a0:0f:00
1.349,536,04-07-07:00:00:02:a0:0f:00
1.351,536,04-07-07:00:00:02:a0:0f:00
1.352,536,04-07-07:00:00:02:a0:0f:00
1.353,536,04-07-07:00:00:02:a0:0f:00
1.354,536,04-07-07:00:00:02:a0:0f:00
1.356,536,04-07-07:00:00:02:a0:0f:00
1.357,536,04-07-07:00:00:02:a0:0f:00
1.358,536,04-07-07:00:00:02:a0:0f:00
1.360,536,04-07-07:00:00:02:a0:0f:00
1.361,536,04-07-07:00:00:02:a0:0f:00
1.362,536,04-07-07:00:00:02:a0:0f:00
1.363,536,04-07-07:00:00:02:a0:0f:00
1.365,536,04-07-07:00:00:02:a0:0f:00
1.366,536,04-07-07:00:00:02:a0:0f:00
1.367,536,04-07-07:00:00:02:a0:0f:00
1.369,536,04-07-07:00:00:02:a0:0f:00
1.370,536,04-07-07:00:00:02:a0:0f:00
1.374,536,04-07-07:00:00:02:a0:0f:00
1.375,536,04-07-07:00:00:02:a0:0f:00
1.379,536,04-07-07:00:00:02:a0:0f:00
1.380,536,04-07-07:00:00:02:a0:0f:00
1.381,536,04-07-07:00:00:02:a0:0f:00
1.383,536,04-07-07:00:00:02:a0:0f:00
1.384,536,04-07-07:00:00:02:a0:0f:00
1.385,536,04-07-07:00:00:02:a0:0f:00
1.386,536,04-07-07:00:00:02:a0:0f:00
1.388,536,04-07-07:00:00:02:a0:0f:00
1.389,536,04-07-07:00:00:02:a0:0f:00
1.390,536,04-07-07:00:00:02:a0:0f:00
1.391,536,04-07-07:00:00:02:a0:0f:00
1.393,536,04-07-07:00:00:02:a0:0f:00
1.394,536,04-07-07:00:00:02:a0:0f:00
1.395,536,04-07-07:00:00:02:a0:0f:00
1.397,536,04-07-07:00:00:02:a0:0f:00
1.398,536,04-07-07:00:00:02:a0:0f:00
1.399,536,04-07-07:00:00:02:a0:0f:00
1.400,536,04-07-07:00:00:02:a0:0f:00
1.402,536,04-07-07:00:00:02:a0:0f:00
1.403,536,04-07-07:00:00:02:a0:0f:00
1.405,536,04-07-07:00:00:02:a0:0f:00
1.406,536,04-07-07:00:00:02:a0:0f:00
1.410,536,04-07-07:00:00:02:a0:0f:00
1.411,536,04-07-07:00:00:02:a0:0f:00
1.412,536,04-07-07:00:00:02:a0:0f:00
1.414,536,04-07-07:00:00:02:a0:0f:00
1.415,536,04-07-07:00:00:02:a0:0f:00
1.416,536,04-07-07:00:00:02:a0:0f:00
1.417,536,04-07-07:00:00:02:a0:0f:00
1.419,536,04-07-07:00:00:02:a0:0f:00
1.420,536,04-07-07:00:00:02:a0:0f:00
1.421,536,04-07-07:00:00:02:a0:0f:00
1.422,536,04-07-07:00:00:02:a0:0f:00
1.424,536,04-07-07:00:00:02:a0:0f:00
1.425,536,04-07-07:00:00:02:a0:0f:00
1.426,536,04-07-07:00:00:02:a0:0f:00
1.428,536,04-07-07:00:00:02:a0:0f:00
1.429,536,04-07-07:00:00:02:a0:0f:00
1.430,536,04-07-07:00:00:02:a0:0f:00
1.431,536,04-07-07:00:00:02:a0:0f:00
1.433,536,04-07-07:00:00:02:a0:0f:00
1.434,536,04-07-07:00:00:02:a0:0f:00
1.435,536,04-07-07:00:00:02:a0:0f:00
1.436,536,04-07-07:00:00:02:a0:0f:00
1.438,536,04-07-07:00:00:02:a0:0f:00
1.441,536,04-07-07:00:00:02:a0:0f:00
1.442,536,04-07-07:00:00:02:a0:0f:00
1.443,536,04-07-07:00:00:02:a0:0f:00
1.445,536,04-07-07:00:00:02:a0:0f:00
1.446,536,04-07-07:00:00:02:a0:0f:00
1.447,536,04-07-07:00:00:02:a0:0f:00
1.448,536,04-07-07:00:00:02:a0:0f:00
1.450,536,04-07-07:00:00:02:a0:0f:00
1.451,536,04-07-07:00:00:02:a0:0f:00
1.452,536,04-07-07:00:00:02:a0:0f:00
1.453,536,04-07-07:00:00:02:a0:0f:00
1.455,536,04-07-07:00:00:02:a0:0f:00
1.456,536,04-07-07:00:00:02:a0:0f:00
1.457,536,04-07-07:00:00:02:a0:0f:00
1.459,536,04-07-07:00:00:02:a0:0f:00
1.460,536,04-07-07:00:00:02:a0:0f:00
1.461,536,04-07-07:00:00:02:a0:0f:00
1.462,536,04-07-07:00:00:02:a0:0f:00
1.464,536,04-07-07:00:00:02:a0:0f:00
