time,bytesRx
1.05,536
1.051,536
1.052,536
1.054,536
1.055,536
1.056,536
1.057,536
1.059,536
1.06,536
1.061,536
1.086,536
1.087,536
1.088,536
1.09,536
1.091,536
1.092,536
1.093,536
1.095,536
1.096,536
1.097,536
1.098,536
1.1,536
1.101,536
1.102,536
1.122,536
1.123,536
1.124,536
1.126,536
1.127,536
1.128,536
1.129,536
1.131,536
1.132,536
1.133,536
1.134,536
1.136,536
1.137,536
1.138,536
1.14,536
1.141,536
1.142,536
1.143,536
1.145,536
1.146,536
1.147,536
1.158,536
1.159,536
1.16,536
1.162,536
1.163,536
1.164,536
1.165,536
1.166,536
1.167,536
1.168,536
1.169,536
1.17,536
1.171,536
1.172,536
1.172,536
1.173,536
1.174,536
1.175,536
1.176,536
1.177,536
1.178,536
1.179,536
1.18,536
1.181,536
1.182,536
1.183,536
1.184,536
1.185,536
1.186,536
1.187,536
1.188,536
1.189,536
1.19,536
1.194,536
1.195,536
1.196,536
1.197,536
1.198,536
1.199,536
1.2,536
1.201,536
1.202,536
1.203,536
1.204,536
1.205,536
1.206,536
1.207,536
1.208,536
1.209,536
1.21,536
1.211,536
1.212,536
1.213,536
1.214,536
1.215,536
1.216,536
1.217,536
1.218,536
1.219,536
1.266,536
1.267,536
1.268,536
1.27,536
1.271,536
1.272,536
1.273,536
1.278,536
1.279,536
1.281,536
1.285,536
1.286,536
1.287,536
1.288,536
1.29,536
1.292,536
1.301,536
1.308,536
1.309,536
1.31,536
1.311,536
1.312,536
1.313,536
1.314,536
1.315,536
1.316,536
1.317,536
1.318,536
1.32,536
1.321,536
1.322,536
1.323,536
1.324,536
1.325,536
1.326,536
1.327,536
1.328,536
1.329,536
1.329,536
1.33,536
1.331,536
1.332,536
1.332,536
1.333,536
1.334,536
1.335,536
1.335,536
1.336,536
1.338,536
1.339,536
1.34,536
1.341,536
1.342,536
1.343,536
1.345,536
1.346,536
1.347,536
1.348,536
1.349,536
1.35,536
1.351,536
1.352,536
1.353,536
1.354,536
1.356,536
1.357,536
1.358,536
1.359,536
1.36,536
1.361,536
1.361,536
1.362,536
1.363,536
1.364,536
1.364,536
1.365,536
1.366,536
1.367,536
1.367,536
1.368,536
1.37,536
1.371,536
1.372,536
1.373,536
1.374,536
1.375,536
1.376,536
1.377,536
1.378,536
1.379,536
1.381,536
1.382,536
1.383,536
1.384,536
1.385,536
1.386,536
1.387,536
1.388,536
1.389,536
1.39,536
1.392,536
1.393,536
1.394,536
1.395,536
1.395,536
1.396,536
1.397,536
1.398,536
1.398,536
1.399,536
1.4,536
1.401,536
1.401,536
1.402,536
1.403,536
1.404,536
1.405,536
1.406,536
1.407,536
1.408,536
1.409,536
1.41,536
1.411,536
1.412,536
1.413,536
1.414,536
1.415,536
1.417,536
1.418,536
1.419,536
1.42,536
1.421,536
1.422,536
1.423,536
1.424,536
1.425,536
1.426,536
1.428,536
1.429,536
1.43,536
1.431,536
1.431,536
1.432,536
1.433,536
1.434,536
1.434,536
1.435,536
1.436,536
1.437,536
1.437,536
1.438,536
1.439,536
1.44,536
1.441,536
1.442,536
1.443,536
1.444,536
1.445,536
1.446,536
1.447,536
1.448,536
1.449,536
