time,throughput
1.05,53600.0
1.051,107200.0
1.052,160800.0
1.054,214400.0
1.055,268000.0
1.056,321600.0
1.057,375200.0
1.059,428800.0
1.06,482400.0
1.061,482400.0
1.086,53600.0
1.087,107200.0
1.088,160800.0
1.09,214400.0
1.091,268000.0
1.092,321600.0
1.093,375200.0
1.095,428800.0
1.096,482400.0
1.097,482400.0
1.098,482400.0
1.1,482400.0
1.101,482400.0
1.102,482400.0
1.122,53600.0
1.123,107200.0
1.124,160800.0
1.126,214400.0
1.127,268000.0
1.128,321600.0
1.129,375200.0
1.131,428800.0
1.132,482400.0
1.133,482400.0
1.134,482400.0
1.136,482400.0
1.137,482400.0
1.138,482400.0
1.14,428800.0
1.141,482400.0
1.142,482400.0
1.143,482400.0
1.145,428800.0
1.146,482400.0
1.147,482400.0
1.158,53600.0
1.159,107200.0
1.16,160800.0
1.162,214400.0
1.163,268000.0
1.164,321600.0
1.165,375200.0
1.167,428800.0
1.168,482400.0
1.169,482400.0
1.17,482400.0
1.172,482400.0
1.173,482400.0
1.174,482400.0
1.176,428800.0
1.177,482400.0
1.178,482400.0
1.179,482400.0
1.181,428800.0
1.182,482400.0
1.183,482400.0
1.184,482400.0
1.186,482400.0
1.187,482400.0
1.188,482400.0
1.189,482400.0
1.191,482400.0
1.192,482400.0
1.193,482400.0
1.195,428800.0
1.196,482400.0
1.249,53600.0
1.25,1447200.0
1.263,53600.0
1.265,321600.0
1.269,375200.0
1.27,643200.0
1.272,696800.0
1.274,1125600.0
1.285,964800.0
1.286,1018400.0
1.288,1072000.0
1.289,1125600.0
1.29,1179200.0
1.292,1232800.0
1.293,1286400.0
1.294,1340000.0
1.295,1393600.0
1.297,428800.0
1.298,482400.0
1.299,482400.0
1.301,428800.0
1.305,321600.0
1.306,321600.0
1.307,375200.0
1.309,321600.0
1.31,321600.0
1.311,375200.0
1.312,375200.0
1.314,428800.0
1.315,482400.0
1.316,482400.0
1.317,482400.0
1.319,482400.0
1.32,482400.0
1.321,482400.0
1.324,428800.0
1.325,428800.0
1.326,428800.0
1.328,375200.0
1.329,428800.0
1.33,428800.0
1.331,428800.0
1.333,428800.0
1.337,321600.0
1.338,375200.0
1.342,214400.0
1.343,268000.0
1.344,268000.0
1.346,321600.0
1.347,375200.0
1.348,375200.0
1.349,375200.0
1.351,428800.0
1.352,482400.0
1.353,482400.0
1.354,482400.0
1.356,482400.0
1.357,482400.0
1.358,482400.0
1.36,428800.0
1.361,482400.0
