time,throughput
1.05,53600.0
1.051,107200.0
1.052,160800.0
1.054,214400.0
1.055,268000.0
1.056,321600.0
1.057,375200.0
1.059,428800.0
1.06,482400.0
1.061,482400.0
1.086,53600.0
1.087,107200.0
1.088,160800.0
1.09,214400.0
1.091,268000.0
1.092,321600.0
1.093,375200.0
1.095,428800.0
1.096,482400.0
1.097,482400.0
1.098,482400.0
1.1,482400.0
1.101,482400.0
1.102,482400.0
1.122,53600.0
1.123,107200.0
1.124,160800.0
1.126,214400.0
1.127,268000.0
1.128,321600.0
1.129,375200.0
1.131,428800.0
1.132,482400.0
1.133,482400.0
1.134,482400.0
1.136,482400.0
1.137,482400.0
1.138,482400.0
1.14,428800.0
1.141,482400.0
1.142,482400.0
1.143,482400.0
1.145,428800.0
1.146,482400.0
1.147,482400.0
1.158,53600.0
1.159,107200.0
1.16,160800.0
1.162,214400.0
1.163,268000.0
1.164,321600.0
1.165,375200.0
1.166,428800.0
1.167,482400.0
1.168,536000.0
1.169,536000.0
1.17,536000.0
1.171,536000.0
1.172,589600.0
1.172,643200.0
1.173,643200.0
1.174,643200.0
1.175,643200.0
1.176,643200.0
1.177,643200.0
1.178,643200.0
1.179,643200.0
1.18,643200.0
1.181,643200.0
1.182,643200.0
1.183,589600.0
1.184,589600.0
1.185,589600.0
1.186,589600.0
1.187,589600.0
1.188,589600.0
1.189,589600.0
1.19,589600.0
1.194,428800.0
1.195,428800.0
1.196,428800.0
1.197,428800.0
1.198,428800.0
1.199,428800.0
1.2,428800.0
1.201,428800.0
1.202,482400.0
1.203,536000.0
1.204,589600.0
1.205,589600.0
1.206,589600.0
1.207,589600.0
1.208,589600.0
1.209,589600.0
1.21,589600.0
1.211,589600.0
1.212,589600.0
1.213,589600.0
1.214,589600.0
1.215,589600.0
1.216,589600.0
1.217,589600.0
1.218,589600.0
1.219,589600.0
1.266,53600.0
1.267,107200.0
1.268,160800.0
1.27,214400.0
1.271,268000.0
1.272,321600.0
1.273,375200.0
1.278,321600.0
1.279,321600.0
1.281,321600.0
1.285,214400.0
1.286,268000.0
1.287,321600.0
1.288,375200.0
1.29,321600.0
1.292,321600.0
1.301,107200.0
1.308,107200.0
1.309,160800.0
1.31,214400.0
1.311,268000.0
1.312,268000.0
1.313,321600.0
1.314,375200.0
1.315,428800.0
1.316,482400.0
1.317,536000.0
1.318,589600.0
1.32,536000.0
1.321,536000.0
1.322,536000.0
1.323,536000.0
1.324,536000.0
1.325,536000.0
