time,throughput
1.489,53600.0
4.526,53600.0
4.563,53600.0
4.566,107200.0
4.6,53600.0
4.603,107200.0
4.637,53600.0
4.64,107200.0
4.643,160800.0
4.677,53600.0
4.68,107200.0
4.714,53600.0
4.717,107200.0
4.72,160800.0
4.751,53600.0
4.754,107200.0
4.757,160800.0
4.76,214400.0
4.791,53600.0
4.794,107200.0
4.797,160800.0
4.8,214400.0
4.831,53600.0
4.834,107200.0
4.837,160800.0
4.84,214400.0
4.842,214400.0
4.871,53600.0
4.874,107200.0
4.877,160800.0
4.88,214400.0
4.908,53600.0
4.911,107200.0
4.914,160800.0
4.917,214400.0
4.919,214400.0
4.945,53600.0
4.948,107200.0
4.951,160800.0
4.954,214400.0
4.956,214400.0
4.959,214400.0
4.985,53600.0
4.988,107200.0
4.991,160800.0
4.994,214400.0
4.996,214400.0
4.999,214400.0
5.002,214400.0
5.025,53600.0
5.028,107200.0
5.031,160800.0
5.034,214400.0
5.036,214400.0
5.039,214400.0
5.062,53600.0
5.065,107200.0
5.068,160800.0
5.071,214400.0
5.073,214400.0
5.076,214400.0
5.099,53600.0
5.102,107200.0
5.105,160800.0
5.108,214400.0
5.11,214400.0
5.113,214400.0
5.116,214400.0
5.136,53600.0
5.139,107200.0
5.142,160800.0
5.145,214400.0
5.147,214400.0
5.15,214400.0
5.153,214400.0
5.156,214400.0
5.176,53600.0
5.179,107200.0
5.182,160800.0
5.185,214400.0
5.187,214400.0
5.19,214400.0
5.193,214400.0
5.196,214400.0
5.198,214400.0
5.216,53600.0
5.219,107200.0
5.222,160800.0
5.225,214400.0
5.227,214400.0
5.23,214400.0
5.233,214400.0
5.378,53600.0
5.409,53600.0
5.412,107200.0
5.415,160800.0
5.449,53600.0
5.452,107200.0
5.455,160800.0
5.486,53600.0
5.489,107200.0
5.492,160800.0
5.495,214400.0
5.526,53600.0
5.529,107200.0
5.532,160800.0
5.535,214400.0
5.566,53600.0
5.569,107200.0
5.572,160800.0
5.575,214400.0
5.577,214400.0
5.606,53600.0
5.609,107200.0
5.612,160800.0
5.615,214400.0
5.643,53600.0
5.646,107200.0
5.649,160800.0
5.652,214400.0
5.654,214400.0
5.68,53600.0
5.683,107200.0
5.686,160800.0
5.689,214400.0
5.691,214400.0
5.694,214400.0
5.72,53600.0
5.723,107200.0
5.726,160800.0
5.729,214400.0
5.731,214400.0
5.734,214400.0
5.76,53600.0
5.763,107200.0
5.766,160800.0
5.769,214400.0
5.771,214400.0
5.774,214400.0
5.777,214400.0
5.8,53600.0
5.803,107200.0
