time,imsi,cellId,isServingCell?,RSRP(dBm),RSRQ(dB)
0.200,1,1,1,-68.903,-4.167
0.200,1,2,0,-74.059,-9.323
0.201,1,1,1,-68.917,-4.174
0.201,1,2,0,-74.042,-9.299
0.206,1,1,1,-68.917,-4.174
0.206,1,2,0,-74.042,-9.298
0.211,1,1,1,-68.918,-4.174
0.211,1,2,0,-74.041,-9.297
0.216,1,1,1,-68.919,-4.175
0.216,1,2,0,-74.040,-9.296
0.221,1,1,1,-68.919,-4.175
0.221,1,2,0,-74.039,-9.295
0.226,1,1,1,-68.920,-4.176
0.226,1,2,0,-74.038,-9.294
0.231,1,1,1,-68.921,-4.176
0.231,1,2,0,-74.037,-9.293
0.236,1,1,1,-68.921,-4.176
0.236,1,2,0,-74.037,-9.291
0.241,1,1,1,-68.922,-4.177
0.241,1,2,0,-74.036,-9.290
0.246,1,1,1,-68.923,-4.177
0.246,1,2,0,-74.035,-9.289
0.251,1,1,1,-68.923,-4.177
0.251,1,2,0,-74.034,-9.288
0.256,1,1,1,-68.924,-4.178
0.256,1,2,0,-74.033,-9.287
0.261,1,1,1,-68.925,-4.178
0.261,1,2,0,-74.033,-9.286
0.266,1,1,1,-68.925,-4.178
0.266,1,2,0,-74.032,-9.285
0.271,1,1,1,-68.926,-4.179
0.271,1,2,0,-74.031,-9.284
0.276,1,1,1,-68.927,-4.179
0.276,1,2,0,-74.030,-9.282
0.281,1,1,1,-68.927,-4.179
0.281,1,2,0,-74.029,-9.281
0.286,1,1,1,-68.928,-4.180
0.286,1,2,0,-74.029,-9.280
0.291,1,1,1,-68.929,-4.180
0.291,1,2,0,-74.028,-9.279
0.296,1,1,1,-68.930,-4.180
0.296,1,2,0,-74.027,-9.278
0.301,1,1,1,-68.930,-4.181
0.301,1,2,0,-74.026,-9.277
0.306,1,1,1,-68.931,-4.181
0.306,1,2,0,-74.025,-9.276
0.311,1,1,1,-68.932,-4.181
0.311,1,2,0,-74.025,-9.274
0.316,1,1,1,-68.932,-4.182
0.316,1,2,0,-74.024,-9.273
0.321,1,1,1,-68.933,-4.182
0.321,1,2,0,-74.023,-9.272
0.326,1,1,1,-68.934,-4.183
0.326,1,2,0,-74.022,-9.271
0.331,1,1,1,-68.934,-4.183
0.331,1,2,0,-74.021,-9.270
0.336,1,1,1,-68.935,-4.183
0.336,1,2,0,-74.020,-9.269
0.341,1,1,1,-68.936,-4.184
0.341,1,2,0,-74.020,-9.268
0.346,1,1,1,-68.936,-4.184
0.346,1,2,0,-74.019,-9.266
0.351,1,1,1,-68.937,-4.184
0.351,1,2,0,-74.018,-9.265
0.356,1,1,1,-68.938,-4.185
0.356,1,2,0,-74.017,-9.264
0.361,1,1,1,-68.938,-4.185
0.361,1,2,0,-74.016,-9.263
0.366,1,1,1,-68.939,-4.185
0.366,1,2,0,-74.016,-9.262
0.371,1,1,1,-68.940,-4.186
0.371,1,2,0,-74.015,-9.261
0.376,1,1,1,-68.940,-4.186
0.376,1,2,0,-74.014,-9.260
0.381,1,1,1,-68.941,-4.186
0.381,1,2,0,-74.013,-9.258
0.386,1,1,1,-68.942,-4.187
0.386,1,2,0,-74.012,-9.257
0.391,1,1,1,-68.942,-4.187
0.391,1,2,0,-74.012,-9.256
0.396,1,1,1,-68.943,-4.187
0.396,1,2,0,-74.011,-9.255
0.401,1,1,1,-68.944,-4.188
0.401,1,2,0,-74.010,-9.254
0.406,1,1,1,-68.945,-4.188
0.406,1,2,0,-74.009,-9.253
0.411,1,1,1,-68.945,-4.189
0.411,1,2,0,-74.008,-9.252
0.416,1,1,1,-68.946,-4.189
0.416,1,2,0,-74.007,-9.250
0.421,1,1,1,-68.947,-4.189
0.421,1,2,0,-74.007,-9.249
0.426,1,1,1,-68.947,-4.190
0.426,1,2,0,-74.006,-9.248
0.431,1,1,1,-68.948,-4.190
0.431,1,2,0,-74.005,-9.247
0.436,1,1,1,-68.949,-4.190
0.436,1,2,0,-74.004,-9.246
0.441,1,1,1,-68.949,-4.191
0.441,1,2,0,-74.003,-9.245
0.446,1,1,1,-68.950,-4.191
0.446,1,2,0,-74.003,-9.244
0.451,1,1,1,-68.951,-4.191
0.451,1,2,0,-74.002,-9.242
0.456,1,1,1,-68.951,-4.192
0.456,1,2,0,-74.001,-9.241
0.461,1,1,1,-68.952,-4.192
0.461,1,2,0,-74.000,-9.240
0.466,1,1,1,-68.953,-4.192
0.466,1,2,0,-73.999,-9.239
0.471,1,1,1,-68.953,-4.193
0.471,1,2,0,-73.999,-9.238
0.476,1,1,1,-68.954,-4.193
0.476,1,2,0,-73.998,-9.237
0.481,1,1,1,-68.955,-4.194
0.481,1,2,0,-73.997,-9.236
0.486,1,1,1,-68.956,-4.194
0.486,1,2,0,-73.996,-9.235
0.491,1,1,1,-68.956,-4.194
0.491,1,2,0,-73.995,-9.233
0.496,1,1,1,-68.957,-4.195
0.496,1,2,0,-73.994,-9.232
0.501,1,1,1,-68.958,-4.195
0.501,1,2,0,-73.994,-9.231
0.506,1,1,1,-68.958,-4.195
0.506,1,2,0,-73.993,-9.230
0.511,1,1,1,-68.959,-4.196
0.511,1,2,0,-73.992,-9.229
0.516,1,1,1,-68.960,-4.196
0.516,1,2,0,-73.991,-9.228
0.521,1,1,1,-68.960,-4.196
0.521,1,2,0,-73.990,-9.227
0.526,1,1,1,-68.961,-4.197
0.526,1,2,0,-73.990,-9.225
0.531,1,1,1,-68.962,-4.197
0.531,1,2,0,-73.989,-9.224
0.536,1,1,1,-68.962,-4.197
0.536,1,2,0,-73.988,-9.223
0.541,1,1,1,-68.963,-4.198
0.541,1,2,0,-73.987,-9.222
0.546,1,1,1,-68.964,-4.198
0.546,1,2,0,-73.986,-9.221
0.551,1,1,1,-68.964,-4.199
0.551,1,2,0,-73.986,-9.220
0.556,1,1,1,-68.965,-4.199
0.556,1,2,0,-73.985,-9.219
0.561,1,1,1,-68.966,-4.199
0.561,1,2,0,-73.984,-9.217
0.566,1,1,1,-68.967,-4.200
0.566,1,2,0,-73.983,-9.216
0.571,1,1,1,-68.967,-4.200
0.571,1,2,0,-73.982,-9.215
0.576,1,1,1,-68.968,-4.200
0.576,1,2,0,-73.981,-9.214
0.581,1,1,1,-68.969,-4.201
0.581,1,2,0,-73.981,-9.213
0.586,1,1,1,-68.969,-4.201
0.586,1,2,0,-73.980,-9.212
0.591,1,1,1,-68.970,-4.201
0.591,1,2,0,-73.979,-9.211
0.596,1,1,1,-68.971,-4.202
0.596,1,2,0,-73.978,-9.209
0.601,1,1,1,-68.971,-4.202
0.601,1,2,0,-73.977,-9.208
0.606,1,1,1,-68.972,-4.203
0.606,1,2,0,-73.977,-9.207
0.611,1,1,1,-68.973,-4.203
0.611,1,2,0,-73.976,-9.206
0.616,1,1,1,-68.973,-4.203
0.616,1,2,0,-73.975,-9.205
0.621,1,1,1,-68.974,-4.204
0.621,1,2,0,-73.974,-9.204
0.626,1,1,1,-68.975,-4.204
0.626,1,2,0,-73.973,-9.202
0.631,1,1,1,-68.976,-4.204
0.631,1,2,0,-73.973,-9.201
0.636,1,1,1,-68.976,-4.205
0.636,1,2,0,-73.972,-9.200
0.641,1,1,1,-68.977,-4.205
0.641,1,2,0,-73.971,-9.199
0.646,1,1,1,-68.978,-4.205
0.646,1,2,0,-73.970,-9.198
0.651,1,1,1,-68.978,-4.206
0.651,1,2,0,-73.969,-9.197
0.656,1,1,1,-68.979,-4.206
0.656,1,2,0,-73.968,-9.196
0.661,1,1,1,-68.980,-4.207
0.661,1,2,0,-73.968,-9.194
0.666,1,1,1,-68.980,-4.207
0.666,1,2,0,-73.967,-9.193
0.671,1,1,1,-68.981,-4.207
0.671,1,2,0,-73.966,-9.192
0.676,1,1,1,-68.982,-4.208
0.676,1,2,0,-73.965,-9.191
0.681,1,1,1,-68.982,-4.208
0.681,1,2,0,-73.964,-9.190
0.686,1,1,1,-68.983,-4.208
0.686,1,2,0,-73.964,-9.189
0.691,1,1,1,-68.984,-4.209
0.691,1,2,0,-73.963,-9.188
0.696,1,1,1,-68.985,-4.209
0.696,1,2,0,-73.962,-9.186
0.701,1,1,1,-68.985,-4.209
0.701,1,2,0,-73.961,-9.185
0.706,1,1,1,-68.986,-4.210
0.706,1,2,0,-73.960,-9.184
0.711,1,1,1,-68.987,-4.210
0.711,1,2,0,-73.960,-9.183
0.716,1,1,1,-68.987,-4.211
0.716,1,2,0,-73.959,-9.182
0.721,1,1,1,-68.988,-4.211
0.721,1,2,0,-73.958,-9.181
0.726,1,1,1,-68.989,-4.211
0.726,1,2,0,-73.957,-9.180
0.731,1,1,1,-68.989,-4.212
0.731,1,2,0,-73.956,-9.178
0.736,1,1,1,-68.990,-4.212
0.736,1,2,0,-73.955,-9.177
0.741,1,1,1,-68.991,-4.212
0.741,1,2,0,-73.955,-9.176
0.746,1,1,1,-68.992,-4.213
0.746,1,2,0,-73.954,-9.175
0.751,1,1,1,-68.992,-4.213
0.751,1,2,0,-73.953,-9.174
0.756,1,1,1,-68.993,-4.213
0.756,1,2,0,-73.952,-9.173
0.761,1,1,1,-68.994,-4.214
0.761,1,2,0,-73.951,-9.172
0.766,1,1,1,-68.994,-4.214
0.766,1,2,0,-73.951,-9.170
0.771,1,1,1,-68.995,-4.215
0.771,1,2,0,-73.950,-9.169
0.776,1,1,1,-68.996,-4.215
0.776,1,2,0,-73.949,-9.168
0.781,1,1,1,-68.996,-4.215
0.781,1,2,0,-73.948,-9.167
0.786,1,1,1,-68.997,-4.216
0.786,1,2,0,-73.947,-9.166
0.791,1,1,1,-68.998,-4.216
0.791,1,2,0,-73.946,-9.165
0.796,1,1,1,-68.999,-4.216
0.796,1,2,0,-73.946,-9.164
0.801,1,1,1,-68.999,-4.217
0.801,1,2,0,-73.945,-9.162
0.806,1,1,1,-69.000,-4.217
0.806,1,2,0,-73.944,-9.161
0.811,1,1,1,-69.001,-4.217
0.811,1,2,0,-73.943,-9.160
0.816,1,1,1,-69.001,-4.218
0.816,1,2,0,-73.942,-9.159
0.821,1,1,1,-69.002,-4.218
0.821,1,2,0,-73.942,-9.158
0.826,1,1,1,-69.003,-4.219
0.826,1,2,0,-73.941,-9.157
0.831,1,1,1,-69.003,-4.219
0.831,1,2,0,-73.940,-9.155
0.836,1,1,1,-69.004,-4.219
0.836,1,2,0,-73.939,-9.154
0.841,1,1,1,-69.005,-4.220
0.841,1,2,0,-73.938,-9.153
0.846,1,1,1,-69.006,-4.220
0.846,1,2,0,-73.938,-9.152
0.851,1,1,1,-69.006,-4.220
0.851,1,2,0,-73.937,-9.151
0.856,1,1,1,-69.007,-4.221
0.856,1,2,0,-73.936,-9.150
0.861,1,1,1,-69.008,-4.221
0.861,1,2,0,-73.935,-9.149
0.866,1,1,1,-69.008,-4.222
0.866,1,2,0,-73.934,-9.147
0.871,1,1,1,-69.009,-4.222
0.871,1,2,0,-73.933,-9.146
0.876,1,1,1,-69.010,-4.222
0.876,1,2,0,-73.933,-9.145
0.881,1,1,1,-69.011,-4.223
